Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_083.jpg;0;1;0;0.9452149;99.99304;86.07384;1.226694;56.12605;-0.001093721
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_150.jpg;0;1;0;0.9938932;100.0379;86.14009;1.216302;56.11622;-0.001028229
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_217.jpg;0;1;0;1.03746;100.0732;86.19234;1.213631;56.10526;-0.0006628905
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_283.jpg;-1.507364;1;0;1.103182;100.1106;86.24721;1.222917;56.09302;-0.000757363
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_350.jpg;-4.518406;1;0;1.145008;100.1641;86.32274;1.228124;55.71035;0.001066501
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_417.jpg;-7.495245;1;0;1.192476;100.2075;86.38064;1.219196;55.15796;0.002152637
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_483.jpg;-10.50489;1;0;1.25522;100.2542;86.43992;1.221955;54.41337;0.001451345
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_550.jpg;-10.49562;1;0;1.298614;100.3213;86.52023;1.222285;53.10382;359.9854
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_617.jpg;-7.506714;1;0;1.347811;100.3738;86.58308;1.226059;52.30101;0.00266788
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_683.jpg;-4.481231;1;0;1.411441;100.4286;86.64811;1.241452;51.7113;0.002758149
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_750.jpg;-1.493411;1;0;1.458072;100.5037;86.73851;1.252256;51.29659;0.0007120572
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_817.jpg;0;1;0;1.505267;100.5613;86.80933;1.251961;51.22931;-0.000646034
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_883.jpg;0;1;0;1.568288;100.6207;86.88255;1.258645;51.21058;-0.0009655575
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_51_950.jpg;0;1;0;1.614815;100.7025;86.98347;1.262224;51.19427;-0.000973458
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_52_017.jpg;0;1;0;1.660241;100.7659;87.0617;1.267789;51.18252;-0.001003616
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_52_083.jpg;0;1;0;1.721619;100.831;87.142;1.269843;51.17257;-0.001010022
/Users/saminda/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_07_04_16_04_52_149.jpg;0;1;0;1.767394;100.9206;87.25242;1.275454;51.15887;-0.00106193
